cake,ingredient,measure,amount
Angel,Almond essence,teaspoon,0.25
Angel,Buttermilk,cup,NA
Angel,Baking powder,teaspoon,NA
Angel,Butter,cup,NA
Angel,Bananas,one,NA
Angel,Cocoa,tablespoon,NA
Angel,Cottage Cheese,pound,NA
Angel,Chocolate,ounce,NA
Angel,Crushed Ice,cup,NA
Angel,Crumbs,cup,NA
Angel,Cream of tartar,teaspoon,1.25
Angel,Dried currants,tablespoon,NA
Angel,Eggs,one,NA
Angel,Egg white,one,NA
Angel,Egg yolk,one,10
Angel,Sifted flour,cup,1
Angel,Gelatin,tablespoon,NA
Angel,Heavy cream,cup,NA
Angel,Lemon juice,tablespoon,NA
Angel,Lemon rind,teaspoon,NA
Angel,Milk,cup,NA
Angel,Nutmeg,teaspoon,NA
Angel,Nuts,cup,NA
Angel,Rum,ounce,NA
Angel,Soda,teaspoon,NA
Angel,Sour cream,cup,NA
Angel,Shortening,tablespoon,NA
Angel,Granulated sugar,cup,1.5
Angel,Strawberries,quart,NA
Angel,Salt,teaspoon,0.25
Angel,Vanilla extract,teaspoon,1
Angel,Water,cup,NA
Angel,Yeast,ounce,NA
Angel,Zwiebach,ounce,NA
Babas au Rhum,Almond essence,teaspoon,NA
Babas au Rhum,Buttermilk,cup,NA
Babas au Rhum,Baking powder,teaspoon,NA
Babas au Rhum,Butter,cup,0.25
Babas au Rhum,Bananas,one,NA
Babas au Rhum,Cocoa,tablespoon,NA
Babas au Rhum,Cottage Cheese,pound,NA
Babas au Rhum,Chocolate,ounce,NA
Babas au Rhum,Crushed Ice,cup,NA
Babas au Rhum,Crumbs,cup,NA
Babas au Rhum,Cream of tartar,teaspoon,NA
Babas au Rhum,Dried currants,tablespoon,3
Babas au Rhum,Eggs,one,1
Babas au Rhum,Egg white,one,2
Babas au Rhum,Egg yolk,one,NA
Babas au Rhum,Sifted flour,cup,1.75
Babas au Rhum,Gelatin,tablespoon,NA
Babas au Rhum,Heavy cream,cup,NA
Babas au Rhum,Lemon juice,tablespoon,NA
Babas au Rhum,Lemon rind,teaspoon,0.5
Babas au Rhum,Milk,cup,0.25
Babas au Rhum,Nutmeg,teaspoon,NA
Babas au Rhum,Nuts,cup,NA
Babas au Rhum,Rum,ounce,2
Babas au Rhum,Soda,teaspoon,NA
Babas au Rhum,Sour cream,cup,NA
Babas au Rhum,Shortening,tablespoon,NA
Babas au Rhum,Granulated sugar,cup,0.25
Babas au Rhum,Strawberries,quart,NA
Babas au Rhum,Salt,teaspoon,NA
Babas au Rhum,Vanilla extract,teaspoon,NA
Babas au Rhum,Water,cup,0.25
Babas au Rhum,Yeast,ounce,0.6
Babas au Rhum,Zwiebach,ounce,NA
Sweet Chocolate,Almond essence,teaspoon,NA
Sweet Chocolate,Buttermilk,cup,NA
Sweet Chocolate,Baking powder,teaspoon,NA
Sweet Chocolate,Butter,cup,1
Sweet Chocolate,Bananas,one,NA
Sweet Chocolate,Cocoa,tablespoon,NA
Sweet Chocolate,Cottage Cheese,pound,NA
Sweet Chocolate,Chocolate,ounce,4
Sweet Chocolate,Crushed Ice,cup,NA
Sweet Chocolate,Crumbs,cup,NA
Sweet Chocolate,Cream of tartar,teaspoon,NA
Sweet Chocolate,Dried currants,tablespoon,NA
Sweet Chocolate,Eggs,one,4
Sweet Chocolate,Egg white,one,NA
Sweet Chocolate,Egg yolk,one,NA
Sweet Chocolate,Sifted flour,cup,2.5
Sweet Chocolate,Gelatin,tablespoon,NA
Sweet Chocolate,Heavy cream,cup,NA
Sweet Chocolate,Lemon juice,tablespoon,NA
Sweet Chocolate,Lemon rind,teaspoon,NA
Sweet Chocolate,Milk,cup,1
Sweet Chocolate,Nutmeg,teaspoon,NA
