record,record_id,species_common_name,species_abbreviation,species_scientific_name,count,lat
1,1083001,Royal / Wandering albatross,DIOEPOSANANTEXU,Diomedea epomophora / sanfordi / antipodensis / exulans,6,-45.916666666666664
2,1083001,Black-browed albatross sensu lato,DIOIMPMEL,Diomedea impavida / melanophrys,2,-45.916666666666664
3,1083001,Cape petrel,DAPCAP,Daption capense,8,-45.916666666666664
4,1083001,Fairy prion,PACTUR,Pachyptila turtur,2,-45.916666666666664
5,1083001,Sooty shearwater,PUFGRI,Puffinus griseus,4,-45.916666666666664
6,1084001,Royal albatross sensu lato,DIOEPOSAN,Diomedea epomophora / sanfordi,10,-35.53333333333333
7,1084001,Black-browed albatross sensu lato,DIOIMPMEL,Diomedea impavida / melanophrys,2,-35.53333333333333
8,1084001,Sooty shearwater,PUFGRI,Puffinus griseus,18,-35.53333333333333
9,1084002,Royal albatross sensu lato,DIOEPOSAN,Diomedea epomophora / sanfordi,10,-37.666666666666664
10,1084002,Black-browed albatross sensu lato,DIOIMPMEL,Diomedea impavida / melanophrys,2,-37.666666666666664
11,1084002,Cape petrel,DAPCAP,Daption capense,2,-37.666666666666664
12,1084002,Prion ,PACSP,Pachyptila sp,2,-37.666666666666664
13,1084002,Sooty shearwater,PUFGRI,Puffinus griseus,8,-37.666666666666664
14,1084002,Seabird ,SEABUN,NA,1,-37.666666666666664
15,1084003,Royal albatross sensu lato,DIOEPOSAN,Diomedea epomophora / sanfordi,14,-40
16,1084003,Black-browed albatross sensu lato,DIOIMPMEL,Diomedea impavida / melanophrys,4,-40
17,1084003,Giant petrel sensu lato,MACSP,Macronectes sp.,3,-40
18,1084003,Cape petrel,DAPCAP,Daption capense,8,-40
19,1084003,Fairy prion,PACTUR,Pachyptila turtur,18,-40
20,1086001,Fairy prion,PACTUR,Pachyptila turtur,6,-36.166666666666664
21,1086001,Black petrel,PROPAR,Procellaria parkinsoni,55,-36.166666666666664
22,1086001,Australasian gannet,MORSER,Morus serrator,12,-36.166666666666664
23,1086002,Wilson's storm petrel,OCEOCE,Oceanites oceanicus,22,-35.416666666666664
24,1086002,Australasian gannet,MORSER,Morus serrator,7,-35.416666666666664
25,1086003,Wandering albatross sensu lato,DIOANTEXU,Diomedea antipodensis / exulans,4,-35.25
26,1086003,Wandering albatross sensu lato,DIOANTEXU,Diomedea antipodensis / exulans,2,-35.25
27,1086003,Royal albatross sensu lato,DIOEPOSAN,Diomedea epomophora / sanfordi,3,-35.25
28,1086003,Northern giant petrel,MACHAL,Macronectes halli,3,-35.25
29,1086003,White-chinned petrel,PROAEQ,Procellaria aequinoctialis,1,-35.25
30,1086003,Sooty shearwater,PUFGRI,Puffinus griseus,1,-35.25
31,1086004,Wandering albatross sensu lato,DIOANTEXU,Diomedea antipodensis / exulans,4,-35.3
32,1086004,Wandering albatross sensu lato,DIOANTEXU,Diomedea antipodensis / exulans,2,-35.3
33,1086004,Royal albatross sensu lato,DIOEPOSAN,Diomedea epomophora / sanfordi,3,-35.3
34,1086004,Northern giant petrel,MACHAL,Macronectes halli,1,-35.3
35,1086004,White-chinned petrel,PROAEQ,Procellaria aequinoctialis,1,-35.3
36,1086005,Wandering albatross sensu lato,DIOANTEXU,Diomedea antipodensis / exulans,3,-36.5
37,1086005,Wandering albatross sensu lato,DIOANTEXU,Diomedea antipodensis / exulans,4,-36.5
38,1086005,Northern royal albatross,DIOSAN,Diomedea sanfordi,2,-36.5
39,1086005,Royal albatross sensu lato,DIOEPOSAN,Diomedea epomophora / sanfordi,4,-36.5
40,1086005,White-chinned petrel,PROAEQ,Procellaria aequinoctialis,2,-36.5
41,1086005,Petrel ,PETRUN,NA,2,-36.5
42,1086006,Wandering albatross sensu lato,DIOANTEXU,Diomedea antipodensis / exulans,1,-36.333333333333336
43,1086006,Royal albatross sensu lato,DIOEPOSAN,Diomedea epomophora / sanfordi,3,-36.333333333333336
44,1086007,Royal albatross sensu lato,DIOEPOSAN,Diomedea epomophora / sanfordi,1,-39.18333333333333
45,1086007,Sooty shearwater,PUFGRI,Puffinus griseus,1,-39.18333333333333
46,1086007,Australasian gannet,MORSER,Morus serrator,1,-39.18333333333333
47,1087001,[NO BIRDS RECORDED],NA,NA,NA,NA
48,1087002,Wandering albatross sensu lato,DIOANTEXU,Diomedea antipodensis / exulans,3,-39.666666666666664
49,1087002,Royal albatross sensu lato,DIOEPOSAN,Diomedea epomophora / sanfordi,2,-39.666666666666664
50,1087002,Black-browed albatross sensu lato,DIOIMPMEL,Diomedea impavida / melanophrys,3,-39.666666666666664
51,1087002,White-chinned petrel,PROAEQ,Procellaria aequinoctialis,3,-39.666666666666664
52,1087003,Wandering albatross sensu lato,DIOANTEXU,Diomedea antipodensis / exulans,3,-39.666666666666664
53,1087003,Royal albatross sensu lato,DIOEPOSAN,Diomedea epomophora / sanfordi,2,-39.666666666666664
54,1087003,Black-browed albatross sensu lato,DIOIMPMEL,Diomedea impavida / melanophrys,3,-39.666666666666664
55,1087003,White-chinned petrel,PROAEQ,Procellaria aequinoctialis,6,-39.666666666666664
56,1087003,Sooty shearwater,PUFGRI,Puffinus griseus,48,-39.666666666666664
57,1087003,Diving-petrel ,PELSP,Pelecanoides sp.,1,-39.666666666666664
58,1087004,Wandering albatross sensu lato,DIOANTEXU,Diomedea antipodensis / exulans,3,-39.85
59,1087004,Royal albatross sensu lato,DIOEPOSAN,Diomedea epomophora / sanfordi,2,-39.85
60,1087004,Black-browed albatross sensu lato,DIOIMPMEL,Diomedea impavida / melanophrys,3,-39.85
61,1087005,Wandering albatross sensu lato,DIOANTEXU,Diomedea antipodensis / exulans,3,-39.93333333333333
62,1087005,Royal albatross sensu lato,DIOEPOSAN,Diomedea epomophora / sanfordi,2,-39.93333333333333
63,1087005,Black-browed albatross sensu lato,DIOIMPMEL,Diomedea impavida / melanophrys,3,-39.93333333333333
64,1087006,Wandering albatross sensu lato,DIOANTEXU,Diomedea antipodensis / exulans,3,-40
65,1087006,Royal albatross sensu lato,DIOEPOSAN,Diomedea epomophora / sanfordi,2,-40
66,1087006,Black-browed albatross sensu lato,DIOIMPMEL,Diomedea impavida / melanophrys,3,-40
67,1087007,Diving-petrel ,PELSP,Pelecanoides sp.,2,-40
68,1087008,Wandering albatross sensu lato,DIOANTEXU,Diomedea antipodensis / exulans,1,-40.1
69,1087008,Wandering albatross sensu lato,DIOANTEXU,Diomedea antipodensis / exulans,1,-40.1
70,1087008,Southern royal albatross,DIOEPO,Diomedea epomophora,2,-40.1
71,1087008,Southern royal albatross,DIOEPO,Diomedea epomophora,3,-40.1
72,1087008,Cape petrel,DAPCAP,Daption capense,4,-40.1
73,1087008,Broad-billed prion,PACVIT,Pachyptila vittata,48,-40.1
74,1087009,Wandering albatross sensu lato,DIOANTEXU,Diomedea antipodensis / exulans,1,-40.166666666666664
75,1087009,Royal albatross sensu lato,DIOEPOSAN,Diomedea epomophora / sanfordi,1,-40.166666666666664
76,1087009,Fairy prion,PACTUR,Pachyptila turtur,4,-40.166666666666664
77,1087009,Buller's shearwater,PUFBUL,Puffinus bulleri,4,-40.166666666666664
78,1087009,Sooty shearwater,PUFGRI,Puffinus griseus,2,-40.166666666666664
79,1087009,Broad-billed prion,PACVIT,Pachyptila vittata,32,-40.166666666666664
